descricao,sigla,id
ESTACAO SAGRADO CORACAO,DOE2,398
ESTACAO ENG CARDOSO,DOE2,399
ESTACAO ITAPEVI,DOE2,400
ESTACAO SANTA RITA,DOE2,401
ESTACAO AMADOR BUENO,DOE2,402
ESTACAO OSASCO,DOE2,403
ESTACAO PRESIDENTE ALTINO,DOE2,404
ESTACAO CEASA,DOE2,405
ESTACAO VILLA LOBOS - JAGUARE,DOE2,406
ESTACAO CIDADE UNIVERSITARIA,DOE2,407
ESTACAO PINHEIROS,DOE2,408
ESTACAO HEBRAICA - REBOUCAS,DOE2,409
ESTACAO CIDADE JARDIM,DOE2,410
ESTACAO VILA OLIMPIA,DOE2,411
DEPTO DE ESTACOES E SERVICOS - LINHAS 11/12/13,DOE3,279
ESTACAO FERRAZ DE VASCONCELOS,DOE3,280
ESTACAO POA,DOE3,281
ESTACAO SUZANO,DOE3,282
ESTACAO JUNDIAPEBA,DOE3,283
ESTACAO TATUAPE,DOE3,284
ESTACAO COMENDADOR ERMELINO,DOE3,285
ESTACAO SAO MIGUEL PAULISTA,DOE3,286
ESTACAO ITAIM PAULISTA,DOE3,287
ESTACAO JARDIM ROMANO,DOE3,288
ESTACAO ENG MANOEL FEIO,DOE3,289
ESTACAO ITAQUAQUECETUBA,DOE3,290
ESTACAO ARACARE,DOE3,291
ESTACAO CALMON VIANA,DOE3,503
ESTACAO ENG GOULART,DOE3,504
ESTACAO GUARULHOS - CECAP,DOE3,505
ESTACAO AEROPORTO - GUARULHOS,DOE3,506
EQUIPE DE IMPLANTACAO DE SISTEMAS AUXILIARES,DOFA,30
DEPTO DE MANUTENCAO DE SISTEMAS AUXILIARES,DOFA,362
MANUTENCAO DE SISTEMAS AUXILIARES - SISTEMAS ELETRICOS - BRAS,DOFA,420
MANUTENCAO DE SISTEMAS AUXILIARES - SISTEMAS ELETRICOS - LAPA,DOFA,421
MANUTENCAO DE SISTEMAS AUXILIARES - SISTEMAS ELETRICOS - LUZ,DOFA,422
MANUTENCAO DE SISTEMAS AUXILIARES - SISTEMAS ELETRICOS - P ALTINO,DOFA,423
MANUTENCAO DE SISTEMAS AUXILIARES - SISTEMAS ELETRICOS - SAO CAETANO,DOFA,424
MANUTENCAO DE SISTEMAS AUXILIARES - CD 90 HZ - PRESIDENTE ALTINO,DOFA,425
MANUTENCAO DE SISTEMAS AUXILIARES - ESCADAS ROLANTES E ELEVADORES,DOFA,426
MANUTENCAO DE SISTEMAS AUXILIARES - GERADORES,DOFA,427
MANUTENCAO DE SISTEMAS AUXILIARES - SISTEMAS ELETRICOS - CALMON VIANA,DOFA,463
CLIMATIZACAO - BRAS,DOFA,501
DEPTO DE MANUT DE SISTEMAS DE ENERGIA,DOFE,20
REDE AEREA 7/10 - MAUA,DOFE,21
REDE AEREA 7/10 - BARRA FUNDA,DOFE,22
REDE AEREA 8/9 - DOMINGOS DE MORAES,DOFE,23
SUBESTACAO CALMON VIANA,DOFE,196
REDE AEREA 7/10 - FRANCISCO MORATO,DOFE,229
DISTRIBUICAO 7/10 SAO CAETANO,DOFE,230
SUBESTACAO MAUA,DOFE,231
SUBESTACAO SAO CAETANO,DOFE,232
SUBESTACAO PARI,DOFE,233
SUBESTACAO TIETE,DOFE,234
SUBESTACAO CAIEIRAS,DOFE,235
SUBESTACAO FRANCISCO MORATO,DOFE,236
SUBESTACOES E CABINAS SECCIONADORAS 8/9,DOFE,237
TELECOMANDO DE SUBESTACOES E CABINAS SECCIONADORAS 8/9-PRESIDENTE ALTINO,DOFE,238
EQUIPE SISTEMAS DE ENERGIA 11/12,DOFE,239
REDE AEREA 11/12 - ENG SEBASTIAO GUALBERTO,DOFE,240
REDE AEREA 11/12 - CALMON VIANA,DOFE,241
DISTRIBUICAO INSTALACOES 11/12,DOFE,242
SUBESTACAO ENGENHEIRO SEBASTIAO GUALBERTO,DOFE,243
SUBESTACAO ENGENHEIRO SAO PAULO,DOFE,244
SUBESTACAO BRAS CUBAS,DOFE,245
SUBESTACAO ERMELINO MATARAZZO,DOFE,246
EQUIPE SISTEMAS DE ENERGIA 8/9,DOFE,250
EQUIPE SISTEMAS DE ENERGIA 7/10,DOFE,292
EQUIPE DE IMPLANTACAO DE ENERGIA,DOFE,441
DEPTO DE MANUT DE SISTEMAS ELETRONICOS E RESTABELECIMENTO DE SERVICOS,DOFS,24
SINALIZACAO LUZ,DOFS,25
RESTABELECIMENTO LUZ,DOFS,26
RESTABELECIMENTO PRESIDENTE ALTINO,DOFS,27
SINALIZACAO PREVENTIVA BRAS,DOFS,28
EQUIPE SINALIZACAO E TELECOMUNICACAO 8/9,DOFS,251
SINALIZACAO PREVENTIVA LUZ,DOFS,293
SINALIZACAO SAO CAETANO,DOFS,294
RESTABELECIMENTO SAO CAETANO,DOFS,295
SINALIZACAO PREVENTIVA SAO CAETANO,DOFS,296
SINALIZACAO PREVENTIVA MAUA,DOFS,297
RESTABELECIMENTO PIRITUBA,DOFS,298
SINALIZACAO PREVENTIVA PIRITUBA,DOFS,299
SINALIZACAO PREVENTIVA FRANCISCO MORATO,DOFS,300
TELECOMUNICACOES LAPA,DOFS,301
TELECOMUNICACOES LUZ,DOFS,302
TELECOMUNIC/RADIO BARRA FUNDA,DOFS,303
SINALIZACAO PREVENTIVA PRES ALTINO,DOFS,304
RESTABELECIMENTO BARUERI,DOFS,305
RESTABELECIMENTO CIDADE JARDIM,DOFS,306
TELECOMUNICACOES MANUT TELEFONICA PRES ALTINO,DOFS,307
TELECOMUNICACOES/BLOQUEIOS-PRES ALTINO,DOFS,308
TELECOMUNICACOES RADIO/SOM/CRON/BLOQ P ALTINO,DOFS,309
TELECOMUNICAO/TRANSMISSAO PRESIDENTE ALTINO,DOFS,310
SINALIZACAO PREVENTIVA CALMON VIANA,DOFS,311
RESTABELECIMENTO ENG SEBASTIAO GUALBERTO,DOFS,312
SINALIZACAO PREVENTIVA ENG SEB GUALBERTO,DOFS,313
SINALIZACAO PREVENTIVA - JOSE BONIFACIO,DOFS,314
RESTABELECIMENTO JOSE BONIFACIO,DOFS,315
